epoch,train_loss,val_loss,train_acc,val_acc
0,1.5822539361747536,1.2213863118489583,0.39653716216216217,0.5466666666666666
1,1.0326118678660006,0.8743806711832682,0.6043074324324325,0.6783333333333333
2,0.8289860962210475,0.8153408312797547,0.691722972972973,0.6966666666666667
3,0.7674372051213239,0.7861939430236816,0.7153716216216216,0.7066666666666667
4,0.6960985918302793,0.7851067233085632,0.7449324324324325,0.7083333333333334
5,0.6694934255368,0.7839386487007141,0.7601351351351351,0.7166666666666667
6,0.6106166630177885,0.7947312418619792,0.784206081081081,0.7183333333333334
7,0.5769889209721539,0.8528947631518046,0.7846283783783784,0.6866666666666666
8,0.5123962631096711,0.8581002799669901,0.8116554054054054,0.7166666666666667
9,0.4524003452545888,0.8843979112307231,0.832347972972973,0.7033333333333334
